AC No,AC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share (%)
55,NAGPUR CENTRAL,11,ADV. KAILASH NATTHUJI WAGHMARE,Independent,59,0,59,0.03
55,NAGPUR CENTRAL,12,GULAB MANSARAM SAHU,Independent,52,1,53,0.03
55,NAGPUR CENTRAL,13,ZULFEQAR AHMAD ANSARI,Independent,224,0,224,0.11
55,NAGPUR CENTRAL,14,DHIRAJ BHOJRAJ GAJBHIYE,Independent,106,0,106,0.05
55,NAGPUR CENTRAL,15,MUKESH ANEKLAL GANGOTRI,Independent,243,0,243,0.12
55,NAGPUR CENTRAL,16,RAMESH GANPATI PUNEKAR,Independent,23221,81,23302,11.88
55,NAGPUR CENTRAL,17,RAJKUMAR GAYAPRASAD SHAHU,Independent,310,0,310,0.16
55,NAGPUR CENTRAL,18,SHAKEEL KHAN,Independent,216,1,217,0.11
55,NAGPUR CENTRAL,19,SAHIL BALCHAND TURKAR,Independent,82,1,83,0.04
55,NAGPUR CENTRAL,20,HAJI MOHAMMAD KALAM,Independent,256,4,260,0.13
55,NAGPUR CENTRAL,21,NOTA,None of the Above,591,12,603,0.31
56,NAGPUR WEST,1,PRAKASH BUDHAJI GAJBHIYE,Bahujan Samaj Party,3423,59,3482,1.59
56,NAGPUR WEST,2,VIKAS PANDURANG THAKRE,Indian National Congress,102665,1479,104144,47.45
56,NAGPUR WEST,3,SUDHAKAR VITTHALRAO KOHALE,Bharatiya Janata Party,97162,1158,98320,44.8
56,NAGPUR WEST,4,ARUN YASHWANTRAO BHAGAT,Jan Janwadi Party,279,1,280,0.13
56,NAGPUR WEST,5,GOURKHEDE YASH SUDHAKAR,Vanchit Bahujan  Aaghadi,1456,15,1471,0.67
56,NAGPUR WEST,6,NARMADA PREMLAL CHAROTE,Socialist Unity Centre Of India (COMMUNIST),70,0,70,0.03
56,NAGPUR WEST,7,NILESH MAHADEO DHOKE,Desh Janhit Party,49,0,49,0.02
56,NAGPUR WEST,8,MANOJ RAMDAS GAURKHEDE,Bharatiya Yuva Jan Ekta Party,81,0,81,0.04
56,NAGPUR WEST,9,YASHWANT HANUMAN TELANG,Bhim Sena,67,1,68,0.03
56,NAGPUR WEST,10,DR. VINOD MAROTI RANGARI,Bahujan Republican  Socialist Party,178,5,183,0.08
56,NAGPUR WEST,11,ANIL AWACHITRAO BARDE,Independent,110,1,111,0.05
56,NAGPUR WEST,12,ALKA PRASHANT POPATKAR,Independent,91,5,96,0.04
56,NAGPUR WEST,13,AADARSH RAVISHANKAR THAKUR,Independent,66,1,67,0.03
56,NAGPUR WEST,14,ADV. DHIRAJ SHAMRAO PAZARE,Independent,178,0,178,0.08
56,NAGPUR WEST,15,NARENDRA JICHKAR,Independent,8097,69,8166,3.72
56,NAGPUR WEST,16,PRAMOD RAGHUNATH BAWANE,Independent,223,2,225,0.1
56,NAGPUR WEST,17,RAJA BAIG (HABIB BAIG),Independent,666,4,670,0.31
56,NAGPUR WEST,18,VINIL CHOURASIA,Independent,277,0,277,0.13
56,NAGPUR WEST,19,SUVAS DIWAKAR RAULKAR,Independent,195,0,195,0.09
56,NAGPUR WEST,20,HEMANT BRIJESH PANDE,Independent,80,0,80,0.04
56,NAGPUR WEST,21,NOTA,None of the Above,1209,40,1249,0.57
57,NAGPUR NORTH,1,DR NITIN KASHINATH RAUT,Indian National Congress,126859,1018,127877,51.02
57,NAGPUR NORTH,2,MANOJ DASHRATH SANGOLE,Bahujan Samaj Party,12370,117,12487,4.98
57,NAGPUR NORTH,3,DR. MILIND MANE,Bharatiya Janata Party,98937,473,99410,39.66
57,NAGPUR NORTH,4,AMOK KHUSHAL NAGRARE,Mera Adhikaar Rashtriya Dal,307,3,310,0.12
57,NAGPUR NORTH,5,KUNAL PREMANAND JANBANDHU,Minorities Democratic Party,215,0,215,0.09
57,NAGPUR NORTH,6,GIRISH RAKHADU SAHARE,Baliraja Party,43,3,46,0.02
57,NAGPUR NORTH,7,GUNWANT HARICHANDRA SOMKUWAR,Bhim Sena,106,2,108,0.04
57,NAGPUR NORTH,8,GOURKHEDE PRAGATI INDALKUMAR,Jay Vidarbha Party,164,3,167,0.07
57,NAGPUR NORTH,9,CHANDRAKANT PRALHAD RAMTEKE,Republican Paksha (Khoripa),103,0,103,0.04
57,NAGPUR NORTH,10,DONGARE KIRTI DEEPAK,All India Majlis-E-Ittehadul Muslimeen,3817,2,3819,1.52
57,NAGPUR NORTH,11,ADV. TRISHEEL VIJAY KHOBRAGADE,Ambedkarite Party of India,188,0,188,0.08
57,NAGPUR NORTH,12,PANJABRAO GUJARAM MESHRAM,Bahujan Republican  Socialist Party,147,0,147,0.06
57,NAGPUR NORTH,13,MURLIDHAR KASHINATH MESHRAM,Vanchit Bahujan  Aaghadi,1214,15,1229,0.49
57,NAGPUR NORTH,14,SUDHIR DAYANAND PATIL,Desh Janhit Party,166,0,166,0.07
57,NAGPUR NORTH,15,ADVOCATE SANTOSH TULSHIRAM CHAVHAN,Vikas India Party,105,2,107,0.04
57,NAGPUR NORTH,16,ATULKUMAR DADA KHOBRAGADE,Independent,918,10,928,0.37
57,NAGPUR NORTH,17,ATHANG ANIL KARODE,Independent,896,5,901,0.36
57,NAGPUR NORTH,18,ASHOK MAHADEO WAGHMARE,Independent,100,0,100,0.04
57,NAGPUR NORTH,19,ADV. ASHWIN VINAYAK JAWADE,Independent,283,0,283,0.11
57,NAGPUR NORTH,20,DR. KUNAL VISHWANATH DHOKE,Independent,226,0,226,0.09
57,NAGPUR NORTH,21,SUNIL KASHINATH MESHRAM,Independent,59,0,59,0.02
57,NAGPUR NORTH,22,RAMESH BABURAO FULE,Independent,114,2,116,0.05
57,NAGPUR NORTH,23,VISHWAS CHANDRABHAN PATIL,Independent,110,1,111,0.04
57,NAGPUR NORTH,24,SANGHAPAL HARISH UPARE,Independent,270,0,270,0.11
57,NAGPUR NORTH,25,SHRIDHAR BHOJRAJ TAGDE,Independent,154,2,156,0.06
57,NAGPUR NORTH,26,HARISH CHHOTELAL NAKKE,Independent,110,5,115,0.05
57,NAGPUR NORTH,27,NOTA,None of the Above,967,21,988,0.39
58,KAMTHI,1,CHANDRASHEKHAR KRUSHNARAO BAWANKULE,Bharatiya Janata Party,174024,955,174979,54.23
58,KAMTHI,2,ER. VIKRANT SURENDRA MESHRAM,Bahujan Samaj Party,4467,35,4502,1.4
58,KAMTHI,3,SURESH YADAVRAO BHOYAR,Indian National Congress,133098,935,134033,41.54
58,KAMTHI,4,AMOL WANKHEDE,Republican Party of India (A),479,4,483,0.15
58,KAMTHI,5,JAGDISH ICHAPURI WADIBHASME,Peoples Party of India (Democratic),190,6,196,0.06
58,KAMTHI,6,NAFIS ABDUL ALIM SHEIKH,Rashtriya Samaj Paksha,60,1,61,0.02
58,KAMTHI,7,NITIN RAMAJI SAHARE,Bhim Sena,132,2,134,0.04
58,KAMTHI,8,PRAFUL ANANDRAO MANKE,Vanchit Bahujan  Aaghadi,2760,19,2779,0.86
58,KAMTHI,9,PRASHANT ANIL NAKHATE,Jay Vidarbha Party,216,3,219,0.07
58,KAMTHI,10,PRASHANT MILIND BANSOD,Aazad Samaj Party (Kanshi Ram),253,1,254,0.08
58,KAMTHI,11,VIJAY JAGAN DONGRE,Ambedkarite Party of India,159,0,159,0.05
58,KAMTHI,12,NARENDRADATTA JAYRAM GAUR,Independent,170,0,170,0.05
58,KAMTHI,13,NAVEED AKHTAR MO. RAFIQ NAVEED,Independent,223,3,226,0.07
58,KAMTHI,14,FIROZ AHMAD ANSARI,Independent,620,2,622,0.19
58,KAMTHI,15,FAIYYAZ AHAMAD ANSARI,Independent,160,3,163,0.05
58,KAMTHI,16,BANTI SHRAVAN ZADAWANE,Independent,882,0,882,0.27
58,KAMTHI,17,RAGHUNATH SHALIKRAM SAHARE,Independent,877,0,877,0.27
58,KAMTHI,18,SALIM ALAUDDIN ANSARI,Independent,266,1,267,0.08
58,KAMTHI,19,SULEMAN ABBAS CHIRAG ALI HAIDERY,Independent,504,0,504,0.16
58,KAMTHI,20,NOTA,None of the Above,1147,21,1168,0.36
59,RAMTEK,1,ASHISH NANDKISHORE JAISWAL(VAKIL),Shiv Sena,107414,553,107967,52.04
59,RAMTEK,2,CHANDRASHEKHAR NAMADE BHIMTE,Bahujan Samaj Party,2539,28,2567,1.24
59,RAMTEK,3,VISHAL GANGADHARRAO BARBATE,Shiv Sena (Uddhav Balasaheb Thackeray),5426,75,5501,2.65
59,RAMTEK,4,ADV. DR. GOWARDHAN NAMDEO SOMDEVE,All India Forward Bloc,193,1,194,0.09
59,RAMTEK,5,PANKAJ SEVAKRAM MASURKAR,Hindustan Janta Party,92,0,92,0.04
59,RAMTEK,6,PRADIP NARAYAN SALVE,Bhim Sena,65,1,66,0.03
59,RAMTEK,7,BAWANKULE RAJENDRA BHIMRAO SHAHIR,Rashtriya Gondvana Party,187,2,189,0.09
59,RAMTEK,8,VISHESH VASANTA FUTANE,Bahujan Republican  Socialist Party,218,6,224,0.11
59,RAMTEK,9,AMBADE PRAFULLA PREMDAS,Independent,738,6,744,0.36
59,RAMTEK,10,CHANDRAPAL NATHUSAO CHOUKASEY,Independent,3228,26,3254,1.57
59,RAMTEK,11,PUKRAJ KRUSHNAJI KAMDE,Independent,175,1,176,0.08
59,RAMTEK,12,MANOJ KOTHUJI BAWANE,Independent,820,3,823,0.4
59,RAMTEK,13,RAJENDRA BHAURAO MULAK,Independent,80700,712,81412,39.24
59,RAMTEK,14,RAMESHWAR MANGALJI INWATE,Independent,269,4,273,0.13
59,RAMTEK,15,ROSHAN RUPCHAND GADE,Independent,278,0,278,0.13
59,RAMTEK,16,VIJAY NATTHUJI HATWAR,Independent,1587,5,1592,0.77
59,RAMTEK,17,SACHIN MAROTRAO KIRPAN,Independent,1532,12,1544,0.74
59,RAMTEK,18,NOTA,None of the Above,553,9,562,0.27
60,TUMSAR,1,KAREMORE RAJU MANIKRAO,Nationalist Congress Party,134732,1081,135813,58.61
60,TUMSAR,2,CHARAN SOVINDA WAGHMARE,Nationalist Congress Party- Sharadchandra Pawar,70802,706,71508,30.86
60,TUMSAR,3,BORKAR YADORAO LALAJI,Bahujan Samaj Party,4048,49,4097,1.77
60,TUMSAR,4,BIRANWARE LILADHAR ONKARLAL,Lok Swarajya Party,196,5,201,0.09
60,TUMSAR,5,BHAGWAN BHAYYA BHONDE,Vanchit Bahujan  Aaghadi,891,19,910,0.39
60,TUMSAR,6,SUDESH KARTIK BANSOD,Apni Prajahit Party,163,2,165,0.07
60,TUMSAR,7,SEVAKBHAU WAGHAYE PATIL,Prahar Janshakti Party,1367,10,1377,0.59
60,TUMSAR,8,AVINASH MAHADEO SONWANE,Independent,3597,16,3613,1.56
60,TUMSAR,9,AGASHE ANKIT DEVDAS,Independent,786,4,790,0.34
60,TUMSAR,10,KAMALESH RATIRAM BAWANKULE,Independent,116,2,118,0.05
60,TUMSAR,11,KHOBRAGADE RAMESH JIWALANG,Independent,201,2,203,0.09
60,TUMSAR,12,GIRIDHAR SHAMRAO KHALODE,Independent,102,2,104,0.04
60,TUMSAR,13,JAGDISH TREMBAK NIMAJE,Independent,250,1,251,0.11
60,TUMSAR,14,THAKCHAND ATMARAM MUNGUSMARE,Independent,5463,22,5485,2.37
60,TUMSAR,15,DHANENDRA BALVIR TURKAR,Independent,1880,50,1930,0.83
60,TUMSAR,16,LAXMISHANKAR GANPAT CHAUDHARI,Independent,875,1,876,0.38
60,TUMSAR,17,WAGHAMARE SHIVCHARAN PREMLAL,Independent,2335,5,2340,1.01
60,TUMSAR,18,SANJU SHARAD BANGALKAR,Independent,877,2,879,0.38
60,TUMSAR,19,NOTA,None of the Above,1017,31,1048,0.45
61,BHANDARA,1,DR. ASHWINI LANDGE (GAJBHIYE),Maharashtra Navnirman sena,905,20,925,0.35
61,BHANDARA,2,PUJA GANESH (BALU) THAVAKAR,Indian National Congress,87864,1653,89517,34.17
61,BHANDARA,3,BALAK EKANATH GAJBHIYE,Bahujan Samaj Party,4972,69,5041,1.92
61,BHANDARA,4,BHONDEKAR NARENDRA BHOJRAJ,Shiv Sena,126516,1368,127884,48.82
61,BHANDARA,5,ARUN JADHO GONDANE,Vanchit Bahujan  Aaghadi,3103,45,3148,1.2
61,BHANDARA,6,DR. BANDU BABURAO MESHRAM,Peoples Party of India (Democratic),380,15,395,0.15
61,BHANDARA,7,BHAOSAGAR SURESH MAROTI,Lok Swarajya Party,170,6,176,0.07
61,BHANDARA,8,MOTGHARE SURESH BAJIRAO,Bahujan Republican  Socialist Party,431,10,441,0.17
61,BHANDARA,9,VISARJAN SAJJAN CHAUSARE,Bharatiya Yuva Jan Ekta Party,134,0,134,0.05
61,BHANDARA,10,ATUL ASHOK LONARE,Independent,193,0,193,0.07
61,BHANDARA,11,KAPIL SADALAL BHONDEKAR,Independent,313,12,325,0.12
61,BHANDARA,12,DIPAK TARACHAND GAJBHIYE,Independent,324,3,327,0.12
61,BHANDARA,13,DEVANGANA VIJAY GADHAVE,Independent,1971,13,1984,0.76
61,BHANDARA,14,NARENDRA SHANKARRAO PAHADE,Independent,23881,315,24196,9.24
61,BHANDARA,15,NISHANT RATAN SUKHADEVE,Independent,645,6,651,0.25
61,BHANDARA,16,PREMSAGAR NILKANTH GANVIR,Independent,2993,67,3060,1.17
61,BHANDARA,17,MANOHAR SHIOPRASAD KHAROLE,Independent,341,3,344,0.13
61,BHANDARA,18,MAYUR DADA JANBANDHU,Independent,652,0,652,0.25
61,BHANDARA,19,RANGARI MUKESH RUPCHAND,Independent,224,0,224,0.09
61,BHANDARA,20,NOTA,None of the Above,2292,62,2354,0.9
62,SAKOLI,1,AVINASH ANANDRAO BRAHMANKAR,Bharatiya Janata Party,95860,727,96587,41
62,SAKOLI,2,NANABHAU FALGUNRAO PATOLE,Indian National Congress,95202,1593,96795,41.08
62,SAKOLI,3,ROSHAN BABURAO FULE,Bahujan Samaj Party,5967,70,6037,2.56
62,SAKOLI,4,DR. AVINASH RAGHUNATH NANHE,Vanchit Bahujan  Aaghadi,11039,149,11188,4.75
62,SAKOLI,5,GOVINDRAO KRUSHNAJI BRAHMANKAR,Lok Swarajya Party,314,1,315,0.13
62,SAKOLI,6,DIKSHA MORESHWAR BODELE,Bahujan Republican  Socialist Party,218,1,219,0.09
62,SAKOLI,7,NARESH BALKRUSHNA GAJBHIYE,Peoples Party of India (Democratic),357,2,359,0.15
62,SAKOLI,8,ASHOK SADASHIV PATLE,Independent,3612,22,3634,1.54
62,SAKOLI,9,CHHAGANLAL NARAYANJI RAMTEKE,Independent,101,3,104,0.04
62,SAKOLI,10,BHOJRAJ RAMDAS GABHANE,Independent,265,2,267,0.11
62,SAKOLI,11,ROHAN HARIDAS SONPIMPLE,Independent,159,1,160,0.07
62,SAKOLI,12,SHRIKANT KARU BARSAGADE,Independent,285,1,286,0.12
62,SAKOLI,13,DR. SOMADATTA BRAHMANAND KARANJEKAR,Independent,17955,354,18309,7.77
62,SAKOLI,14,NOTA,None of the Above,1305,35,1340,0.57
63,ARJUNI MORGAON,1,BADOLE RAJKUMAR SUDAM,Nationalist Congress Party,81855,651,82506,45.04
63,ARJUNI MORGAON,2,BANSOD DILIP WAMAN,Indian National Congress,65256,835,66091,36.08
63,ARJUNI MORGAON,3,BHAVESH UTTAM KUMBHARE,Maharashtra Navnirman sena,543,12,555,0.3
63,ARJUNI MORGAON,4,SACHINKUMAR NANDGAYE,Bahujan Samaj Party,1438,30,1468,0.8
63,ARJUNI MORGAON,5,ANIL RAVISHANKAR RAUT,Hamar Raj Party,89,1,90,0.05
63,ARJUNI MORGAON,6,KASHYAP BHIMRAO MESHRAM,Peoples Party of India (Democratic),213,1,214,0.12
63,ARJUNI MORGAON,7,CHANDRIKAPURE SUGAT MANOHAR,Prahar Janshakti Party,15264,164,15428,8.42
63,ARJUNI MORGAON,8,DINESH RAMRATAN PANCHABHAI,Vanchit Bahujan  Aaghadi,5395,58,5453,2.98
63,ARJUNI MORGAON,9,AJAY SURESH BADOLE,Independent,225,2,227,0.12
63,ARJUNI MORGAON,10,AJAY SAMBHAJI LANJEWAR,Independent,4685,59,4744,2.59
63,ARJUNI MORGAON,11,ANILKUMAR PREMLAL MESHRAM,Independent,134,0,134,0.07
63,ARJUNI MORGAON,12,KETAN ASARAM MESHRAM,Independent,395,9,404,0.22
63,ARJUNI MORGAON,13,KHAROLE ENG. SUJIT VIKRAM,Independent,983,2,985,0.54
63,ARJUNI MORGAON,14,NITA NILKANTH SAKHARE,Independent,436,3,439,0.24
63,ARJUNI MORGAON,15,NITESH ANIL BORKAR,Independent,866,0,866,0.47
63,ARJUNI MORGAON,16,PRAFUL THAMKE,Independent,705,0,705,0.38
63,ARJUNI MORGAON,17,DR. BABAN RAMDAS KAMBLE,Independent,1027,0,1027,0.56
63,ARJUNI MORGAON,18,RATNADEEP SUKHADEO DAHIWALE,Independent,923,25,948,0.52
63,ARJUNI MORGAON,19,RAJENDRA KASHINATH TEMBHURNE,Independent,93,1,94,0.05
63,ARJUNI MORGAON,20,NOTA,None of the Above,761,40,801,0.44
64,TIRORA,1,CHAMPALAL DASHRATH SATHAWANE,Bahujan Samaj Party,1540,29,1569,0.88
64,TIRORA,2,RAVIKANT KHUSHAL BOPCHE (GUDDU),Nationalist Congress Party- Sharadchandra Pawar,59642,656,60298,33.83
64,TIRORA,3,VIJAY BHARATLAL RAHANGDALE,Bharatiya Janata Party,102313,671,102984,57.78
64,TIRORA,4,ATUL MURLIDHAR GAJBHIYE,Vanchit Bahujan  Aaghadi,1746,40,1786,1
64,TIRORA,5,DINESH DUDHARAM TEKAM,Janseva Gondwana Party,313,6,319,0.18
64,TIRORA,6,PRATAP TILAKCHAND PATLE,Sambhaji Brigade Party,968,4,972,0.55
64,TIRORA,7,RAVINDRA DILIP SOYAM,People’s Union Party,2443,5,2448,1.37
64,TIRORA,8,RAJESH MADHORAO AMBEDARE,Bahujan Republican  Socialist Party,147,4,151,0.08
64,TIRORA,9,AJAY VISHWANATH ANJANKAR,Independent,82,1,83,0.05
64,TIRORA,10,KOSARKAR KHUSHAL DEWAJI,Independent,252,3,255,0.14
64,TIRORA,11,GAJBHIYE KAILASH BUDHARAM,Independent,81,0,81,0.05
64,TIRORA,12,DONGRE MANOJ YOURAJ,Independent,701,7,708,0.4
64,TIRORA,13,TAYWADE RAJESHKUMAR MAYARAM,Independent,203,1,204,0.11
64,TIRORA,14,NARENDRAKUMAR GANPATRAO RAHANGDALE,Independent,486,2,488,0.27
64,TIRORA,15,NITESH SHALIKRAM KHOBRAGADE,Independent,2104,7,2111,1.18
64,TIRORA,16,NIRAJKUMAR BHUMESHWAR MISHRA,Independent,349,2,351,0.2
64,TIRORA,17,NILESH PRADEEP RODGE,Independent,162,1,163,0.09
64,TIRORA,18,RAJENDRA DAMODAR BONDRE,Independent,778,1,779,0.44
64,TIRORA,19,VANITA (KAJU) BENILAL THAKARE,Independent,1147,8,1155,0.65
64,TIRORA,20,SURESH DADUJI TEMBHARE,Independent,241,2,243,0.14
64,TIRORA,21,SONU. R. TEMBHEKAR,Independent,329,3,332,0.19
64,TIRORA,22,NOTA,None of the Above,724,23,747,0.42
65,GONDIYA,1,AGRAWAL GOPALDAS SHANKARLAL,Indian National Congress,80432,972,81404,34.84
65,GONDIYA,2,AGRAWAL VINOD,Bharatiya Janata Party,141896,1116,143012,61.21
65,GONDIYA,3,NARENDRA SUHAGAN MESHRAM,Bahujan Samaj Party,4299,87,4386,1.88
65,GONDIYA,4,SURESH RAMANKUMAR CHAUDHARY,Maharashtra Navnirman sena,496,17,513,0.22
65,GONDIYA,5,RAJESHKUMAR HANVATLAL DOYE,Right to Recall Party,64,0,64,0.03
65,GONDIYA,6,SATISH SADARAM BANSOD,Vanchit Bahujan  Aaghadi,1005,36,1041,0.45
65,GONDIYA,7,ARUN NAGORAO GAJBHIYE,Independent,83,0,83,0.04
65,GONDIYA,8,OMPRAKASH SOMAJI RAHANGDALE,Independent,63,1,64,0.03
65,GONDIYA,9,GOVIND RAMDAS TIDKE,Independent,111,1,112,0.05
65,GONDIYA,10,CHANDRASHEKHAR(BALU)  LICHADE,Independent,291,10,301,0.13
65,GONDIYA,11,DURGESH BISEN,Independent,148,2,150,0.06
65,GONDIYA,12,NAGESHWAR RAJESH DUBEY,Independent,194,0,194,0.08
65,GONDIYA,13,DR. BADOLE VINOD KASHIRAMJI,Independent,104,0,104,0.04
65,GONDIYA,14,SURESH DADUJI TEMBHARE,Independent,191,1,192,0.08
65,GONDIYA,15,SANTOSH BALIRAM LAXANE,Independent,567,0,567,0.24
65,GONDIYA,16,NOTA,None of the Above,1441,30,1471,0.63
66,AMGAON,1,DILIP RAMADHIN JULA,Bahujan Samaj Party,1547,22,1569,0.8
66,AMGAON,2,RAJKUMAR LOTUJI PURAM,Indian National Congress,76293,1109,77402,39.24
66,AMGAON,3,SANJAY PURAM,Bharatiya Janata Party,109309,814,110123,55.83
66,AMGAON,4,DEVAVILAS TULARAM BHOGARE,Rashtriya Gondvana Party,2677,29,2706,1.37
66,AMGAON,5,NIKESH JHADU GAWAD,Vanchit Bahujan  Aaghadi,1373,28,1401,0.71
66,AMGAON,6,WAMAN PUNESHWAR SHELMAKE,Bahujan Republican  Socialist Party,278,2,280,0.14
66,AMGAON,7,CHAKATE VILAS PANDHARI,Independent,409,1,410,0.21
66,AMGAON,8,YASHWANT ANTARAM MALAYE,Independent,1144,22,1166,0.59
66,AMGAON,9,SHANKARLAL GUNEJI MADAVI,Independent,983,23,1006,0.51
66,AMGAON,10,NOTA,None of the Above,1174,20,1194,0.61
67,ARMORI,1,ANIL (KRANTI) TULARAM KERAMI,Bahujan Samaj Party,3405,33,3438,1.69
67,ARMORI,2,KRUSHNA DAMAJI GAJBE,Bharatiya Janata Party,91769,530,92299,45.4
67,ARMORI,3,RAMDAS MALUJI MASRAM,Indian National Congress,97551,958,98509,48.46
67,ARMORI,4,CHETAN NEVASHA KATENGE,Aazad Samaj Party (Kanshi Ram),1914,13,1927,0.95
67,ARMORI,5,MOHANDAS GANPAT PURAM,Vanchit Bahujan  Aaghadi,1784,24,1808,0.89
67,ARMORI,6,ANANDRAO GANGARAM GEDAM,Independent,1932,22,1954,0.96
67,ARMORI,7,KHEMRAJ BHAU  NEWARE,Independent,739,6,745,0.37
67,ARMORI,8,DR. SHILU CHIMURKAR PENDAM,Independent,849,5,854,0.42
67,ARMORI,9,NOTA,None of the Above,1745,17,1762,0.87
68,GADCHIROLI,1,MANOHAR TULSHIRAM PORETI,Indian National Congress,99841,1194,101035,43.49
68,GADCHIROLI,2,DR. MILIND RAMJI NAROTE,Bharatiya Janata Party,115787,753,116540,50.16
68,GADCHIROLI,3,SANJAY SUBHASH KUMRE,Bahujan Samaj Party,3193,48,3241,1.4
68,GADCHIROLI,4,JAYASHRI VIJAY VELADA,Peasants And Workers Party of India,3339,23,3362,1.45
68,GADCHIROLI,5,BHARAT MANGARUJI YERME,Vanchit Bahujan  Aaghadi,1812,40,1852,0.8
68,GADCHIROLI,6,YOGESH BAJIRAON KUMARE,Gondvana Gantantra Party,474,6,480,0.21
68,GADCHIROLI,7,DIWAKAR GULAB PENDAM,Independent,666,7,673,0.29
68,GADCHIROLI,8,BALKRISHNA WANGNUJI SAWSAKADE,Independent,758,10,768,0.33
68,GADCHIROLI,9,DR. SONAL CHETAN KOWE,Independent,1516,36,1552,0.67
68,GADCHIROLI,10,NOTA,None of the Above,2788,29,2817,1.21
69,AHERI,1,ATRAM DHARAMRAOBABA BHAGWANTRAO,Nationalist Congress Party,53978,228,54206,29.16
69,AHERI,2,ATRAM BHAGYASHREE DHARAMRAOBABA,Nationalist Congress Party- Sharadchandra Pawar,35569,196,35765,19.24
69,AHERI,3,RAMESH VELLA GAWADE,Bahujan Samaj Party,2653,21,2674,1.44
69,AHERI,4,SANDIP MAROTI KORET,Maharashtra Navnirman sena,2960,33,2993,1.61
69,AHERI,5,NITA PENTAJI TALANDI,Prahar Janshakti Party,1206,8,1214,0.65
69,AHERI,6,ATRAM DEEPAK DADA,Independent,6551,55,6606,3.55
69,AHERI,7,KUMRAM MAHESH JAYRAM,Independent,1111,1,1112,0.6
69,AHERI,8,GEDAM SAILESH BICHCHU,Independent,1337,2,1339,0.72
69,AHERI,9,NITIN DADA PADA,Independent,5638,10,5648,3.04
69,AHERI,10,RAJE AMBRISH RAO RAJE SATYAVANRAO ATRAM,Independent,37121,271,37392,20.12
69,AHERI,11,LEKHAMI BHAGYASHRI MANOHAR,Independent,3898,4,3902,2.1
69,AHERI,12,HANMANTU GANGARAM MADAVI,Independent,27034,154,27188,14.63
69,AHERI,13,NOTA,None of the Above,5813,12,5825,3.13
70,RAJURA,1,ABHAY MAROTI DONGRE,Bahujan Samaj Party,1153,20,1173,0.49
70,RAJURA,2,DEORAO VITHOBA BHONGLE,Bharatiya Janata Party,72512,370,72882,30.53
70,RAJURA,3,DHOTE SUBHASH RAMCHANDRARAO,Indian National Congress,68862,966,69828,29.25
70,RAJURA,4,SACHIN BAPURAO BHOYAR,Maharashtra Navnirman sena,4233,19,4252,1.78
70,RAJURA,5,GAJANAN GODRU PATIL JUMNAKE,Gondvana Gantantra Party,28351,178,28529,11.95
70,RAJURA,6,ADV CHATAP WAMANRAO SADASHIV,Swatantra Bharat Paksha,54498,592,55090,23.08
70,RAJURA,7,PRIYA BANDU KHADE,Republican Party of India (A),596,4,600,0.25
70,RAJURA,8,BHUSHAN MADHUKARRAO FUSE,Sambhaji Brigade Party,824,10,834,0.35
70,RAJURA,9,MANGESH HIRAMAN GEDAM,Peoples Party of India (Democratic),450,9,459,0.19
70,RAJURA,10,KIRAN GANGADHAR GEDAM,Independent,587,3,590,0.25
70,RAJURA,11,KUMARE PRAVIN RAMRAO,Independent,892,4,896,0.38
70,RAJURA,12,CHITRALEKHA KALIDAS DHANDRE (CHAPLE),Independent,640,4,644,0.27
70,RAJURA,13,NINAD CHANDRAPRAKASH BORKAR,Independent,1227,4,1231,0.52
70,RAJURA,14,PRAVIN RAMDAS SATPADE,Independent,669,1,670,0.28
70,RAJURA,15,NOTA,None of the Above,1018,18,1036,0.43
71,CHANDRAPUR,1,JORGEWAR KISHOR GAJANAN,Bharatiya Janata Party,105681,1160,106841,48.67
71,CHANDRAPUR,2,PRAVIN NANAJI PADWEKAR,Indian National Congress,82798,1239,84037,38.28
71,CHANDRAPUR,3,MANOJ GOPICHAND LADE,Bahujan Samaj Party,1851,40,1891,0.86
71,CHANDRAPUR,4,NABHA SANDIP WAGHMARE,Peoples Party of India (Democratic),464,8,472,0.22
71,CHANDRAPUR,5,RAJESH BHIMRAO GHUTKE,Vikas India Party,227,1,228,0.1
71,CHANDRAPUR,6,DNYANESHWAR EKNATH NAGRALE,Republican Party of India (A),226,2,228,0.1
71,CHANDRAPUR,7,ANAND SURESHRAO INGLE,Independent,235,0,235,0.11
71,CHANDRAPUR,8,PRAKASH UDHAORAO TAKSANDE,Independent,117,1,118,0.05
71,CHANDRAPUR,9,DR PRAKASH SHANKAR RAMTEKE,Independent,234,2,236,0.11
71,CHANDRAPUR,10,BRIJBHUSHAN MAHADEO PAZARE,Independent,14422,176,14598,6.65
71,CHANDRAPUR,11,BHANESH RAJAM MATHANGI,Independent,202,4,206,0.09
71,CHANDRAPUR,12,MILIND PRALHAD DAHIWALE,Independent,527,5,532,0.24
71,CHANDRAPUR,13,RATAN PRALHAD GAIKAWAD,Independent,724,3,727,0.33
71,CHANDRAPUR,14,RAJU CHINNAYYA ZODE,Independent,5574,137,5711,2.6
71,CHANDRAPUR,15,VINOD KAWADUJI KHOBRAGADE,Independent,378,3,381,0.17
71,CHANDRAPUR,16,SURESH MALHARI PAIKRAO,Independent,824,3,827,0.38
